Slice,Count,Total Area,Average Size,%Area
30-A_ARC_4.tif-(Colour_1).tif,19,1057269.310,55645.753,94.956
30-A_ARC_4.tif-(Colour_2).tif,269,16833.376,62.578,1.512
30-A_CA1_1.tif-(Colour_1).tif,2,1111101.446,555550.723,99.791
30-A_CA1_1.tif-(Colour_2).tif,453,32096.934,70.854,2.883
30-A_CA1_2.tif-(Colour_1).tif,3,1112731.035,370910.345,99.937
30-A_CA1_2.tif-(Colour_2).tif,393,31989.394,81.398,2.873
30-A_CA1_3.tif-(Colour_1).tif,1,1112470.000,1112470.000,99.913
30-A_CA1_3.tif-(Colour_2).tif,350,24429.010,69.797,2.194
30-A_CA1_4.tif-(Colour_1).tif,2,1111349.571,555674.786,99.813
30-A_CA1_4.tif-(Colour_2).tif,553,52790.598,95.462,4.741
30-B_ARC_1.tif-(Colour_1).tif,6,1041499.320,173583.220,93.539
30-B_ARC_1.tif-(Colour_2).tif,135,5986.995,44.348,0.538
30-B_ARC_2.tif-(Colour_1).tif,4,1040614.426,260153.606,93.460
30-B_ARC_2.tif-(Colour_2).tif,230,13457.687,58.512,1.209
30-B_CA1_1.tif-(Colour_1).tif,2,1100836.464,550418.232,98.869
30-B_CA1_1.tif-(Colour_2).tif,239,16951.625,70.927,1.522
30-B_CA1_2.tif-(Colour_1).tif,3,1112475.392,370825.131,99.914
30-B_CA1_2.tif-(Colour_2).tif,274,17113.605,62.458,1.537
30-B_CA1_3.tif-(Colour_1).tif,1,1113416.875,1113416.875,99.998
30-B_CA1_3.tif-(Colour_2).tif,260,20101.078,77.312,1.805
32_ARC_1.tif-(Colour_1).tif,2,1111939.874,555969.937,99.866
32_ARC_1.tif-(Colour_2).tif,275,18147.953,65.993,1.630
32_ARC_2.tif-(Colour_1).tif,13,982904.225,75608.017,88.277
32_ARC_2.tif-(Colour_2).tif,251,12434.940,49.542,1.117
32_ARC_3.tif-(Colour_1).tif,6,957805.015,159634.169,86.023
32_ARC_3.tif-(Colour_2).tif,326,29609.232,90.826,2.659
32_ARC_4.tif-(Colour_1).tif,15,942225.529,62815.035,84.623
32_ARC_4.tif-(Colour_2).tif,226,13645.994,60.381,1.226
32_CA1_1.tif-(Colour_1).tif,1,1111114.750,1111114.750,99.792
32_CA1_1.tif-(Colour_2).tif,275,22422.339,81.536,2.014
32_CA1_2.tif-(Colour_1).tif,1,1113413.750,1113413.750,99.998
32_CA1_2.tif-(Colour_2).tif,145,8178.404,56.403,0.735
32_CA1_3.tif-(Colour_1).tif,3,1102779.392,367593.131,99.043
32_CA1_3.tif-(Colour_2).tif,220,21022.532,95.557,1.888
32_CA1_4.tif-(Colour_1).tif,3,1106884.603,368961.534,99.412
32_CA1_4.tif-(Colour_2).tif,141,5547.018,39.341,0.498
33-A_ARC_1.tif-(Colour_1).tif,8,1005641.128,125705.141,90.319
