id,cohort,litter,date_of_birth,age,sex,diet,ei_1,ei_2,ei_3,ei_4,ei_5,ei_6,ei_7,ei_8,ei_9,ei_10,ei_11,ei_12,ei_13,ei_14,ei_15,ei_16,ei_17,ei_18,ei_19,ei_20,ei_21,ei_22,ei_23,bw_0,bw_1,bw_2,bw_3,bw_4,bw_5,bw_6,bw_7,bw_8,bw_9,bw_10,bw_11,bw_12,bw_13,bw_14,bw_15,bw_16,bw_17,bw_18,bw_19,bw_20,bw_21,bw_22,bw_23,bw_24,fm_0,fm_7,fm_14,fm_21,lm_0,lm_7,lm_14,lm_21
20,0,104,1/14/2018,142,1,2,159.74,85.75,61.74,72.03,83.79,70.56,64.19,66.15,71.54,72.03,54.39,44.1,49.98,66.64,51.94,49,42.14,78.89,52.43,81.83,49,32.34,80.36,296.9,,305.1,,308.5,,,309.2,,319.3,316.6,,316.9,,317.8,,312.3,,320,,,314.3,,,319.6,39.4,55.517,62.686,65.891,219.168,211.238,209.943,209.846
21,0,104,1/14/2018,142,1,1,176.89,44.59,27.44,37.73,66.64,61.25,50.47,89.18,66.64,69.58,61.74,45.08,78.89,90.65,67.62,80.85,64.19,93.59,43.12,63.7,73.01,36.26,90.16,314,,310.6,,304.2,,,311.5,,317.7,319.8,,319.4,,325.6,,330,,335.4,,,335.6,,,338.6,55.172,54.665,65.535,72.836,218.159,217.714,228.273,221.626
22,0,102,1/8/2018,148,1,0,1.86,44.95,43.09,51.15,57.35,43.09,43.71,44.02,57.35,47.43,10.23,30.69,40.92,49.6,31.62,40.3,41.85,67.58,49.6,48.67,71.61,23.25,49.6,323.5,,313.8,,313.7,,,312.2,,311.4,290.4,,306.2,,304.5,,299.4,,305.2,,,298.4,,,299.5,108.648,98.091,85.613,82.924,181.064,177.743,181.114,181.911
23,0,102,1/8/2018,148,1,1,258.23,109.76,78.89,106.33,98.49,93.1,96.04,88.2,72.52,108.78,101.43,77.42,89.18,92.12,91.14,66.15,77.42,96.04,43.61,58.8,63.21,38.22,76.93,300.8,,316.2,,325.9,,,336,,341.7,341.8,,351.1,,353.1,,352.2,,361.9,,,357,,,360.5,74.502,99.665,117.906,124.156,197.301,199.862,192.641,197.859
24,0,106,1/4/2018,152,1,1,171.5,120.05,72.52,72.52,95.55,104.37,89.18,91.14,81.34,96.53,111.72,72.03,82.32,75.46,57.82,81.83,67.13,87.22,65.17,58.8,49.98,53.41,71.05,330.5,,348.3,,348.1,,,364.6,,370.8,379.9,,382,,388,,388.4,,395.9,,,389.5,,,394.4,95.907,123.902,146.317,149.89,202.189,193.674,202.235,208.227
25,0,106,1/4/2018,152,1,2,121.52,94.08,69.09,83.79,97.02,81.83,91.63,77.91,90.16,90.16,86.24,70.56,90.16,105.84,69.09,78.4,66.64,94.57,61.74,67.62,85.75,40.67,92.12,351.1,,361.7,,364.9,,,375.5,,382.1,385.1,,386.7,,400.2,,399.1,,403.9,,,407.2,,,410.7,110.02,133.541,155.315,165.837,203.138,198.875,203.694,208.649
26,0,106,1/4/2018,152,1,3,39.2,13.23,16.17,45.08,79.38,41.16,59.78,84.28,58.8,47.04,60.76,82.32,57.82,38.22,39.2,76.44,74.48,76.93,47.53,62.72,85.75,46.06,153.37,323.2,,307,,306.1,,,312.5,,315.9,313.9,,323.7,,308.4,,315.1,,313.8,,,318.7,,,316.8,74.617,62.885,63.346,66.401,196.916,207.58,205.125,217.171
27,0,106,1/4/2018,152,1,2,110.74,75.95,69.58,66.64,79.87,68.6,73.01,64.68,70.07,67.62,58.31,51.45,51.94,67.62,57.82,58.31,39.69,74.48,37.73,53.9,53.9,35.77,66.64,314.9,,320.4,,325.8,,,334.9,,339.1,333.7,,336.8,,340.6,,338.6,,343.9,,,336.8,,,343.5,85.697,102.122,113.289,112.794,199.573,195.839,188.708,191.736
28,0,101,12/31/2017,156,1,0,69.44,52.39,48.67,51.77,70.37,57.97,48.05,41.23,61.38,54.56,59.83,43.09,51.77,63.55,49.29,51.46,69.13,75.33,39.68,52.39,61.38,33.79,70.99,275.3,,275,,275.4,,,274,,276.3,270.7,,270.9,,275.7,,271.3,,282.9,,,276.6,,,279.7,54.128,52.707,52.252,53.06,185.135,184.577,188.284,181.152
29,0,101,12/31/2017,156,1,3,36.75,27.44,48.51,73.99,59.78,46.55,54.39,61.74,74.48,43.12,44.1,54.39,66.64,53.41,29.4,55.86,57.82,54.39,45.57,54.39,50.47,50.96,59.78,295.3,,282.5,,293.4,,,291.9,,299.7,286.9,,290.7,,290,,287,,285.4,,,286.1,,,287.6,56.507,53.268,54.218,51.744,209.968,201.451,201.422,204.098
